,Identifier,primer_start,primer_end,adaptor_start,adaptor_end
21077,GGBKTAO02BZ2O5,1,21,NA,NA
21078,GGBKTAO02BQLDT,1,21,NA,NA
21079,GGBKTAO02BNLZY,1,21,NA,NA
21080,GGBKTAO02BUGI5,1,21,NA,NA
21081,GGBKTAO02BMZ4K,NA,NA,NA,NA
21082,GGBKTAO02BM6DT,NA,NA,NA,NA
21083,GGBKTAO02BM6GB,1,21,318,337
21084,GGBKTAO02BOBD2,NA,NA,NA,NA
21085,GGBKTAO02BPZHK,NA,NA,NA,NA
21086,GGBKTAO02BNFUR,NA,NA,NA,NA
21087,GGBKTAO02BOQ82,NA,NA,NA,NA
21088,GGBKTAO02BT341,NA,NA,NA,NA
21089,GGBKTAO02BMQJM,1,21,NA,NA
21090,GGBKTAO02BOHRC,NA,NA,NA,NA
21091,GGBKTAO02BOXMF,NA,NA,NA,NA
21092,GGBKTAO02BV7XJ,NA,NA,NA,NA
21093,GGBKTAO02BMWT5,NA,NA,NA,NA
21094,GGBKTAO02BUJXO,NA,NA,NA,NA
21095,GGBKTAO02BQX6X,NA,NA,NA,NA
21096,GGBKTAO02BU2WX,NA,NA,NA,NA
21097,GGBKTAO02BRW34,1,21,NA,NA
21098,GGBKTAO02BM287,NA,NA,318,337
21099,GGBKTAO02BWW79,NA,NA,NA,NA
21100,GGBKTAO02BM28V,1,21,NA,NA
21101,GGBKTAO02BMQI3,1,21,NA,NA
21102,GGBKTAO02BZTJ7,NA,NA,NA,NA
21103,GGBKTAO02BRAY7,NA,NA,NA,NA
21104,GGBKTAO02BOXNM,NA,NA,317,336
21105,GGBKTAO02BOUH9,NA,NA,NA,NA
21106,GGBKTAO02BWNNE,NA,NA,NA,NA
21107,GGBKTAO02BX8PA,NA,NA,66,85
21108,GGBKTAO02BWNRG,NA,NA,NA,NA
21109,GGBKTAO02BO6Z5,1,21,NA,NA
21110,GGBKTAO02BWKGV,NA,NA,NA,NA
21111,GGBKTAO02BQU6I,1,21,258,277
21112,GGBKTAO02BNFV0,NA,NA,NA,NA
21113,GGBKTAO02BTH0L,NA,NA,NA,NA
21114,GGBKTAO02BUDG7,NA,NA,NA,NA
21115,GGBKTAO02BM9GG,1,21,NA,NA
21116,GGBKTAO02BNFYO,NA,NA,NA,NA
21117,GGBKTAO02BOBIE,1,21,303,322
21118,GGBKTAO02BQ1H5,NA,NA,NA,NA
21119,GGBKTAO02BRKH9,1,21,318,337
21120,GGBKTAO02BQOTQ,NA,NA,NA,NA
21121,GGBKTAO02BMWT8,1,21,NA,NA
